0_0_computation,0_1_computation,0_2_computation,1_0_computation,1_1_computation,1_2_computation,2_0_computation,2_1_computation,2_2_computation,0_0_MEC_range,0_1_MEC_range,0_2_MEC_range,1_0_MEC_range,1_1_MEC_range,1_2_MEC_range,2_0_MEC_range,2_1_MEC_range,2_2_MEC_range,
0.567094,1.30178,0.640632,1.24004,6.25139,0.751261,0.787243,1.05987,0.527701,1_1|1_2|1_3|2_1|2_2|2_3|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_8|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_5|6_6|7_5|7_6|6_7|6_4|7_4|7_7|6_3|,4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|7_3|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.386556,0.515887,0.495084,0.896395,5.19606,0.818575,0.64275,0.675035,0.684585,1_1|1_2|1_3|2_1|2_2|2_3|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|7_3|,4_8|4_9|5_8|5_9|6_9|7_9|3_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
1.04549,0.576902,0.754988,0.439601,5.25429,0.615453,0.486917,0.409313,0.566679,1_1|1_2|1_3|2_1|2_2|2_3|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.666108,1.22123,0.536478,1.33765,8.46217,0.769604,0.793388,0.816707,0.942164,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|2_3|2_7|,1_7|1_8|1_9|2_8|2_9|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.65958,0.968567,0.733792,1.10162,6.82791,0.917826,1.04055,0.764208,0.481052,1_1|1_2|1_3|2_1|2_2|3_1|2_3|,1_4|1_5|1_6|2_4|2_5|2_6|,1_7|1_8|1_9|2_8|2_9|3_9|2_7|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|8_3|7_2|,8_4|8_5|8_6|8_7|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|7_7|,
0.800367,1.49661,0.59722,1.11708,0.287556,0.949026,0.845312,1.03327,0.967336,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|2_7|2_3|3_5|3_6|4_5|4_6|,1_7|1_8|1_9|2_8|2_9|3_9|3_8|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|3_3|3_4|4_3|4_4|,3_7|4_7|5_3|5_4|5_5|5_6|5_7|6_5|,4_8|4_9|5_8|5_9|6_9|7_9|,7_1|7_2|8_1|8_2|9_1|9_2|9_3|7_3|6_3|,8_4|8_5|8_6|8_7|9_4|9_5|9_6|8_3|7_4|6_4|7_5|7_6|,6_8|7_7|7_8|8_8|8_9|9_7|9_8|9_9|6_7|6_6|,
0.908235,1.13515,0.671198,0.790463,8.71658,0.949807,0.831638,0.320954,1.20373,1_1|1_2|1_3|2_1|2_2|3_1|2_3|3_2|3_3|,1_4|1_5|1_6|2_4|2_5|2_6|2_7|,1_7|1_8|1_9|2_8|2_9|3_8|3_9|,4_1|4_2|5_1|5_2|6_1|6_2|,3_7|4_7|5_3|5_4|5_5|5_6|5_7|6_5|6_6|6_7|7_7|6_3|7_3|4_5|4_6|3_5|3_6|6_4|7_4|7_5|7_6|3_4|4_4|4_3|,4_8|4_9|5_8|5_9|6_9|7_9|,7_1|7_2|8_1|8_2|9_1|9_2|9_3|8_3|,8_4|8_5|8_6|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|8_7|,
0.475632,2.05689,0.708024,1.51133,6.49274,1.21136,1.02823,1.73877,1.06916,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|2_4|2_5|2_6|2_7|2_3|,1_7|1_8|1_9|2_8|2_9|3_8|3_9|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|3_2|,3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|3_3|,4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_4|8_5|8_6|9_4|9_5|9_6|8_7|8_3|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.494506,2.57406,0.72117,1.00762,3.77535,0.925471,0.557135,1.51365,0.826547,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|2_3|2_4|2_5|2_6|2_7|3_3|3_4|3_5|,1_7|1_8|1_9|2_8|2_9|3_8|3_9|,3_2|4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|,4_8|4_9|5_8|5_9|6_9|7_9|6_8|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|7_3|6_3|,7_8|8_8|8_9|9_7|9_8|9_9|,
1.56556,1.01882,1.03543,0.895099,6.11393,1.59234,0.770881,1.11639,0.880872,1_1|1_2|1_3|2_1|2_2|3_1|3_2|2_3|3_3|3_4|,1_4|1_5|1_6|2_4|2_5|,1_7|1_8|1_9|2_8|2_9|3_9|2_7|2_6|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|6_3|,3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|3_5|,4_8|4_9|5_8|5_9|6_8|6_9|7_9|3_8|,7_1|8_1|8_2|9_1|9_2|9_3|,7_3|8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,7_8|8_8|8_9|9_7|9_8|9_9|,
0.52827,1.26493,1.1049,1.45095,6.45315,0.660825,1.17464,1.07962,0.76828,1_1|1_2|1_3|2_1|2_2|3_1|3_2|,1_4|1_5|1_6|2_4|2_5|2_6|2_3|,1_7|1_8|1_9|2_7|2_8|2_9|3_9|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|7_3|,3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|6_3|3_4|3_3|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|8_3|,8_4|8_5|8_6|8_7|9_4|9_5|9_6|,7_8|8_8|8_9|9_7|9_8|9_9|6_8|,
1.30267,1.3397,1.18673,1.1382,6.47042,1.07086,1.38691,0.835682,1.62037,1_1|1_2|1_3|2_1|2_2|3_1|3_2|2_3|,1_4|1_5|1_6|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_9|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|8_3|9_1|9_2|9_3|7_3|,8_4|8_5|8_6|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|8_7|,
0.895503,1.71232,1.47048,1.01791,8.48461,1.40753,0.634777,1.28847,0.700188,1_1|1_2|1_3|2_1|2_2|3_1|3_2|,1_4|1_5|1_6|2_4|2_5|2_6|2_3|,1_7|1_8|1_9|2_7|2_8|2_9|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_4|7_5|7_6|7_7|7_3|,3_8|4_8|4_9|5_8|5_9|6_9|7_9|3_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_4|8_5|8_6|9_4|9_5|9_6|8_7|8_3|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.823109,1.25323,0.834176,0.740999,8.27148,1.24304,0.963474,1.17599,0.915423,1_1|1_2|1_3|2_1|2_2|3_1|3_2|,1_4|1_5|1_6|2_3|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_8|3_9|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|8_7|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|,
0.568846,0.930371,0.60431,1.3611,5.79592,0.914674,0.672383,0.761778,0.951215,1_1|1_2|1_3|2_1|2_2|3_1|,1_4|1_5|1_6|2_3|2_4|2_5|2_6|,1_7|1_8|1_9|2_7|2_8|2_9|3_8|,4_1|4_2|5_1|5_2|6_1|6_2|7_2|3_2|,3_3|3_4|3_5|3_6|3_7|4_3|4_4|4_5|4_6|4_7|5_3|5_4|5_5|5_6|5_7|6_3|6_4|6_5|6_6|6_7|7_3|7_4|7_5|7_6|7_7|,3_9|4_8|4_9|5_8|5_9|6_9|7_9|,7_1|8_1|8_2|9_1|9_2|9_3|,8_3|8_4|8_5|8_6|9_4|9_5|9_6|,6_8|7_8|8_8|8_9|9_7|9_8|9_9|8_7|,
